id,name,rarity,description,cost,tags,damage,damageType,attunement,stackable,weightEach,image,shape,container,containerRows,containerCols
manual_of_stone_golems,Manual of Stone Golems,very_rare,"This tome contains information and incantations necessary to make a stone golem. To decipher and use the manual, you must be a spellcaster with at least two 5th-level spell slots. A creature that can't use a manual of golems and attempts to read it takes 6d6 psychic damage.",,wondrous_item,,,,,5,,,,,
map,Map,common,"If you consult an accurate Map, you gain a +5 bonus to Wisdom (Survival) checks you make to find your way in the place represented on it.",1gp,adventuring_gear,,,,,,,,,,
map_or_scroll_case,Map or Scroll Case,common,A Map or Scroll Case holds up to 10 sheets of paper or 5 sheets of parchment.,1gp,adventuring_gear,,,,,1,,,,,
mason_s_tools,Mason's Tools,common,"Ability: Strength Utilize: Chisel a symbol or hole in stone (DC 10) Craft: Block and Tackle Artisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency. If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool.",10gp,artisan's_tools,,,,,8,,,,,
mastiff,Mastiff,common,,25gp,mount,"Speed: 40, Carrying Capacity: 195 lb.",,,,,,,,,
maul,Maul,common,,10gp,weapon|martial_weapon|melee_weapon,2d6,bludgeoning,,,10,,,,,
medallion_of_thoughts,Medallion of Thoughts,uncommon,"The medallion has 5 charges. While wearing it, you can expend 1 charge to cast Detect Thoughts (save DC 13) from it. The medallion regains 1d4 expended charges daily at dawn.",,wondrous_item,,,true,,1,,,,,
midnight_tears,Midnight Tears,common,"A creature that ingests Midnight Tears suffers no effect until the stroke of midnight. Any effect that ends the Poisoned condition neutralizes this poison. If the poison hasn't been neutralized before midnight, the creature makes a DC 17 Constitution saving throw, taking 31 (9d6) Poison damage on a failed save or half as much damage on a successful one.",1500gp,adventuring_gear|poison_(ingested),,,,,,,,,,
military_saddle,Military Saddle,common,"A saddle comes with a bit, a bridle, reins, and any other equipment needed to use the saddle. A Military Saddle gives Advantage on any ability check you make to remain mounted.",20gp,tack_and_harness,,,,,30,,,,,
mirror,Mirror,common,A handheld steel Mirror is useful for personal cosmetics but also for peeking around corners and reflecting light as a signal.,5gp,adventuring_gear,,,,,,,,,,
mirror_of_life_trapping,Mirror of Life Trapping,very_rare,"When this 4-foot-tall, 2-foot-wide mirror is viewed indirectly, its surface shows faint images of creatures. The mirror weighs 50 pounds, and it has AC 11, HP 10, Immunity to Poison and Psychic damage, and Vulnerability to Bludgeoning damage. It shatters and is destroyed when reduced to 0 Hit Points.",,wondrous_item,,,,,50,,,,,
morningstar,Morningstar,common,,15gp,weapon|martial_weapon|melee_weapon,1d8,piercing,,,4,,,,,
mule,Mule,common,,8gp,mount,"Speed: 40, Carrying Capacity: 420 lb.",,,,,,,,,
musical_instrument,Musical Instrument,common,"If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too.",,instrument,,,,,,,,,,
musket,Musket,common,,500gp,weapon|martial_weapon|ranged_weapon|firearm,1d12,piercing,,,10,,,,,
mystery_key,Mystery Key,common,"A question mark is worked into the head of this key. The key has a 5 percent chance of unlocking any lock into which it's inserted. Once it unlocks something, the key disappears.",,wondrous_item,,,,,,,,,,
nature_s_mantle,Nature's Mantle,uncommon,"This cloak shifts color and texture to blend with the terrain surrounding you. While wearing the cloak, you can use it as a Spellcasting Focus for your Druid and Ranger spells. While you are in an area that is Lightly Obscured, you can Hide as a Bonus Action even if you are being directly observed.",,wondrous_item|spellcasting_focus,,,true,,,,,,,
navigator_s_tools,Navigator's Tools,common,"Ability: Wisdom Utilize: Plot a course (DC 10), or determine position by stargazing (DC 15) If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too.",25gp,tool,,,,,2,,,,,
necklace_of_adaptation,Necklace of Adaptation,uncommon,"While wearing this necklace, you can breathe normally in any environment, and you have Advantage on saving throws made to avoid or end the Poisoned condition.",,wondrous_item,,,true,,1,,,,,
necklace_of_fireballs,Necklace of Fireballs,rare,"This necklace has 1d6 + 3 beads hanging from it. You can take a Magic action to detach a bead and throw it up to 60 feet away. When it reaches the end of its trajectory, the bead detonates as a level 3 Fireball (save DC 15).",,wondrous_item,,,,,1,,,,,
necklace_of_prayer_beads,Necklace of Prayer Beads,rare,"This necklace has 1d4 + 2 magic beads made from aquamarine, black pearl, or topaz. It also has many nonmagical beads made from stones such as amber, bloodstone, citrine, coral, jade, pearl, or quartz. If a magic bead is removed from the necklace, that bead loses its magic.",,wondrous_item,,,true,,1,,,,,
needle,Needle,common,"Blowgun needles are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon).",2cp,ammunition,,,,,,,,,,
needles_50,Needles (50),common,"Blowgun needles are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon).",1gp,ammunition,,,,,1,,,,,
net,Net,common,,1gp,adventuring_gear,,,,,3,,,,,
nolzur_s_marvelous_pigments,Nolzur's Marvelous Pigments,very_rare,"This fine wooden box contains 1d4 pots of pigment and a brush (weighing 1 pound in total). Using the brush and expending 1 pot of pigment, you can paint any number of three-dimensional objects and terrain features (such as walls, doors, trees, flowers, weapons, webs, and pits), provided these elements are all confined to a 20-foot Cube. The effort takes 10 minutes (regardless of the number of elements you create), during which time you must remain in the Cube, and requires Concentration.",,wondrous_item,,,,,,,,,,
oil,Oil,common,"You can douse a creature, object, or space with Oil or use it as fuel, as detailed below. Dousing a Creature or an Object. When you take the Attack action, you can replace one of your attacks with throwing an Oil flask.",1sp,adventuring_gear,,,,,1,,,,,
oil_of_etherealness,Oil of Etherealness,rare,"One vial of this oil can cover one Medium or smaller creature, along with the equipment it's wearing and carrying (one additional vial is required for each size category above Medium). Applying the oil takes 10 minutes. The affected creature then gains the effect of the Etherealness spell for 1 hour.",,potion,,,,,,,,,,
oil_of_sharpness,Oil of Sharpness,very_rare,"One vial of this oil can coat one Melee weapon or twenty pieces of ammunition, but only ammunition and Melee weapons that are nonmagical and deal Slashing or Piercing damage are affected. Applying the oil takes 1 minute, after which the oil magically seeps into whatever it coats, turning the coated weapon into a +3 Weapon or the coated ammunition into +3 Ammunition. This clear, gelatinous oil sparkles with tiny, ultrathin silver shards.",,potion,,,,,,,,,,
oil_of_slipperiness,Oil of Slipperiness,uncommon,"One vial of this oil can cover one Medium or smaller creature, along with the equipment it's wearing and carrying (one additional vial is required for each size category above Medium). Applying the oil takes 10 minutes. The affected creature then gains the effect of the Freedom of Movement spell for 8 hours.",,potion,,,,,,,,,,
oil_of_taggit,Oil of Taggit,common,A creature subjected to Oil of Taggit must succeed on a DC 13 Constitution saving throw or have the Poisoned condition for 24 hours. The creature also has the Unconscious condition while Poisoned in this way. It wakes up if it takes damage.,400gp,adventuring_gear|poison_(contact),,,,,,,,,,
orb,Orb,common,"An Arcane Focus takes a specific form and is bejeweled or carved to channel arcane magic. A Sorcerer, Warlock, or Wizard can use such an item as a Spellcasting Focus.",20gp,spellcasting_focus,,,,,3,,,,,
orb_of_direction,Orb of Direction,common,"This orb can be used as an Arcane Focus. While holding this orb, you can take a Magic action to determine which way is magnetic north. Nothing happens if the orb is used in a location that has no magnetic north.",,wondrous_item,,,,,3,,,,,
orb_of_dragonkind,Orb of Dragonkind,artifact,"Long ago, in the Dragonlance setting, elves and humans waged a terrible war against chromatic dragons. When the world seemed doomed, the wizards of the Towers of High Sorcery came together and forged five Orbs of Dragonkind to help defeat the dragons. One orb was taken to each of the five towers, and there they were used to speed the war toward a victorious end.",,wondrous_item,,,true,,3,,,,,
orb_of_time,Orb of Time,common,"This orb can be used as an Arcane Focus. While holding the orb, you can take a Magic action to determine whether it is morning, afternoon, evening, or nighttime. This property functions only on the Material Plane.",,wondrous_item,,,,,3,,,,,
ox,Ox,common,Merchants commonly exchange trade goods without using currency.,15gp,trade_good,,,,,,,,,,
padded_armor,Padded Armor,common,The wearer has Disadvantage on Dexterity (Stealth) checks.,5gp,light_armor,AC 11 + Dex,,,,8,,,,,
painter_s_supplies,Painter's Supplies,common,"Ability: Wisdom Utilize: Paint a recognizable image of something you've seen (DC 10) Craft: Druidic Focus, Holy Symbol Artisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency. If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool.",10gp,artisan's_tools,,,,,5,,,,,
pale_tincture,Pale Tincture,common,"A creature subjected to Pale Tincture must succeed on a DC 16 Constitution saving throw or take 3 (1d6) Poison damage and have the Poisoned condition. The Poisoned creature repeats the save every 24 hours, taking 3 (1d6) Poison damage on a failed save. The damage the poison deals can't be healed by any means while the creature remains Poisoned.",250gp,adventuring_gear|poison_(ingested),,,,,,,,,,
pan_flute,Pan Flute,common,"Ability: Charisma Utilize: Play a known tune (DC 10), or improvise a song (DC 15) If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too.",12gp,instrument,,,,,2,,,,,
paper,Paper,common,One sheet of Paper can hold about 250 handwritten words.,2sp,adventuring_gear,,,,,,,,,,
parchment,Parchment,common,One sheet of Parchment can hold about 250 handwritten words.,1sp,adventuring_gear,,,,,,,,,,
pearl_of_power,Pearl of Power,uncommon,"While this pearl is on your person, you can take a Magic action to regain one expended spell slot of level 3 or lower. Once you use the pearl, it can't be used again until the next dawn.",,wondrous_item,,,true,,,,,,,
pepper,Pepper,common,Merchants commonly exchange trade goods without using currency.,2gp,trade_good,,,,,1,,,,,
perfume,Perfume,common,"Perfume comes in a 4-ounce vial. For 1 hour after applying Perfume to yourself, you have Advantage on Charisma (Persuasion) checks made to influence an Indifferent Humanoid within 5 feet of yourself.",5gp,adventuring_gear,,,,,,,,,,
perfume_of_bewitching,Perfume of Bewitching,common,"This tiny vial contains magic perfume, enough for one use. You can take a Magic action to apply the perfume to yourself, and its effect lasts 1 hour. For the duration, you have Advantage on all Charisma (Deception and Persuasion) checks made to influence a creature within 5 feet of yourself.",,wondrous_item,,,,,,,,,,
periapt_of_health,Periapt of Health,uncommon,"While wearing this pendant, you can take a Magic action to regain 2d4 + 2 Hit Points. Once used, this property can't be used again until the next dawn. In addition, you have Advantage on saving throws to avoid or end the Poisoned condition while you wear this pendant.",,wondrous_item,,,true,,1,,,,,
periapt_of_proof_against_poison,Periapt of Proof against Poison,rare,"This delicate silver chain has a brilliant-cut black gem pendant. While you wear it, you have Immunity to the Poisoned condition and Poison damage.",,wondrous_item,,,true,,1,,,,,
periapt_of_wound_closure,Periapt of Wound Closure,uncommon,"While wearing this pendant, you gain the following benefits. Life Preservation. Whenever you make a Death Saving Throw, you can change a roll of 9 or lower to a 10, turning a failed save into a successful one.",,wondrous_item,,,true,,1,,,,,
philter_of_love,Philter of Love,uncommon,"The next time you see a creature within 10 minutes after drinking this philter, you are charmed by that creature and have the Charmed condition for 1 hour. This rose-hued, effervescent liquid contains one easy-to-miss bubble shaped like a heart.",,potion,,,,,,,,,,
pig,Pig,common,Merchants commonly exchange trade goods without using currency.,3gp,trade_good,,,,,,,,,,
pike,Pike,common,,5gp,weapon|martial_weapon|melee_weapon,1d10,piercing,,,18,,,,,
pipe_of_smoke_monsters,Pipe of Smoke Monsters,common,"While smoking this pipe, you can take a Magic action to exhale a puff of smoke that takes the form of a creature, such as a dragon, a flumph, or a slaad. The form must be small enough to fit in a 1-foot cube and loses its shape after a few seconds, becoming an ordinary puff of smoke.",,wondrous_item,,,,,,,,,,
pipes_of_haunting,Pipes of Haunting,uncommon,"These pipes have 3 charges and regain 1d3 expended charges daily at dawn. You can take a Magic action to play them and expend 1 charge to create an eerie, spellbinding tune. Each creature of your choice within 30 feet of you must succeed on a DC 15 Wisdom saving throw or have the Frightened condition for 1 minute.",,wondrous_item,,,,,,,,,,
pipes_of_the_sewers,Pipes of the Sewers,uncommon,"While these pipes are on your person, ordinary rats and giant rats are Indifferent toward you and won't attack you unless you threaten or harm them. The pipes have 3 charges and regain 1d3 expended charges daily at dawn. If you play the pipes as a Magic action, you can take a Bonus Action to expend 1 to 3 charges, calling forth one Swarm of Rats with each expended charge if enough rats are within half a mile of you to be called in this fashion (as determined by the DM).",,wondrous_item,,,true,,,,,,,
pistol,Pistol,common,,250gp,weapon|martial_weapon|ranged_weapon|firearm,1d10,piercing,,,3,,,,,
plate_armor,Plate Armor,common,"The wearer has Disadvantage on Dexterity (Stealth) checks. If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet.",1500gp,heavy_armor,AC 18,,,,65,,,,,
platinum,Platinum,common,Merchants commonly exchange trade goods without using currency.,500gp,trade_good,,,,,1,,,,,
playing_cards,Playing Cards,common,"Ability: Wisdom Utilize: Discern whether someone is cheating (DC 10), or win the game (DC 20) If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too.",5sp,gaming_set,,,,,,,,,,
poisoner_s_kit,Poisoner's Kit,common,"Ability: Intelligence Utilize: Detect a poisoned object (DC 10) Craft: Basic Poison If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too.",50gp,tool,,,,,2,,,,,
pole,Pole,common,"A Pole is 10 feet long. You can use it to touch something up to 10 feet away. If you must make a Strength (Athletics) check as part of a High or Long Jump, you can use the Pole to vault, giving yourself Advantage on the check.",5cp,adventuring_gear,,,,,7,,,,,
pole_of_angling,Pole of Angling,common,"This item functions as a Pole. While holding it, you can take a Magic action to cause it to transform into a fishing pole with a hook, a line, and a reel, or have the fishing pole revert to a Pole.",,wondrous_item,,,,,,,,,,
pole_of_collapsing,Pole of Collapsing,common,"This item functions as a Pole. While holding it, you can take a Magic action to collapse it into a 1-foot-long rod for ease of storage (the pole's weight doesn't change) or cause the 1-foot-long rod to revert to a Pole. The rod elongates only as far as the surrounding space allows.",,wondrous_item,,,,,,,,,,
pony,Pony,common,,30gp,mount,"Speed: 40, Carrying Capacity: 225 lb.",,,,,,,,,
portable_hole,Portable Hole,rare,"This fine black cloth, soft as silk, is folded up to the dimensions of a handkerchief. It unfolds into a circular sheet 6 feet in diameter. You can take a Magic action to unfold a Portable Hole and place it on or against a solid surface, whereupon the Portable Hole creates an extradimensional hole 10 feet deep.",,wondrous_item,,,,,,,,,,
portable_ram,Portable Ram,common,"You can use a Portable Ram to break down doors. When doing so, you gain a +4 bonus to the Strength check. One other character can help you use the ram, giving you Advantage on this check.",4gp,adventuring_gear,,,,,35,,,,,
pot_of_awakening,Pot of Awakening,common,"If you plant an ordinary shrub in this 10-pound clay pot and let it grow for 30 days, the shrub magically transforms into an Awakened Shrub at the end of that time. When the shrub awakens, its roots break the pot, destroying it. The awakened shrub is Friendly toward you and obeys your commands.",,wondrous_item,,,,,,,,,,
potion_of_acid_resistance,Potion of Acid Resistance,uncommon,"When you drink this potion, you have Resistance to Acid damage for 1 hour.",,potion,,,,,,,,,,
potion_of_animal_friendship,Potion of Animal Friendship,uncommon,"When you drink this potion, you can cast the level 3 version of the Animal Friendship spell (save DC 13). Agitating this potion's muddy liquid brings little bits into view: a fish scale, a hummingbird feather, a cat claw, or a squirrel hair.",,potion,,,,,,,,,,
potion_of_clairvoyance,Potion of Clairvoyance,rare,"When you drink this potion, you gain the effect of the Clairvoyance spell (no Concentration required). An eyeball bobs in this potion's yellowish liquid but vanishes when the potion is opened.",,potion,,,,,,,,,,
potion_of_climbing,Potion of Climbing,common,"When you drink this potion, you gain a Climb Speed equal to your Speed for 1 hour. During this time, you have Advantage on Strength (Athletics) checks to climb. This potion is separated into brown, silver, and gray layers resembling bands of stone.",,potion,,,,,,,,,,
potion_of_cloud_giant_strength,Potion of Cloud Giant Strength,very_rare,"When you drink this potion, your Strength score changes to 27 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score. This potion's transparent liquid has floating in it a sliver of fingernail from a cloud giant.",,potion,,,,,,,,,,
potion_of_cold_resistance,Potion of Cold Resistance,uncommon,"When you drink this potion, you have Resistance to Cold damage for 1 hour.",,potion,,,,,,,,,,
potion_of_comprehension,Potion of Comprehension,common,"When you drink this potion, you gain the effect of the Comprehend Languages spell for 1 hour. This potion's liquid is a clear concoction with bits of salt and soot swirling in it.",,potion,,,,,,,,,,
potion_of_diminution,Potion of Diminution,rare,"When you drink this potion, you gain the ""reduce"" effect of the Enlarge/Reduce spell for 1d4 hours (no Concentration required). The red in the potion's liquid continuously contracts to a tiny bead and then expands to color the clear liquid around it. Shaking the bottle fails to interrupt this process.",,potion,,,,,,,,,,
potion_of_fire_breath,Potion of Fire Breath,uncommon,"After drinking this potion, you can take a Bonus Action to exhale fire at a target within 30 feet of yourself. The target makes a DC 13 Dexterity saving throw, taking 4d6 Fire damage on a failed save or half as much damage on a successful one. The effect ends after you exhale the fire three times or when 1 hour has passed.",,potion,,,,,,,,,,
potion_of_fire_giant_strength,Potion of Fire Giant Strength,rare,"When you drink this potion, your Strength score changes to 25 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score. This potion's transparent liquid has floating in it a sliver of fingernail from a fire giant.",,potion,,,,,,,,,,
potion_of_fire_resistance,Potion of Fire Resistance,uncommon,"When you drink this potion, you have Resistance to Fire damage for 1 hour.",,potion,,,,,,,,,,
potion_of_flying,Potion of Flying,very_rare,"When you drink this potion, you gain a Fly Speed equal to your Speed for 1 hour and can hover. If you're in the air when the potion wears off, you fall unless you have some other means of staying aloft. This potion's clear liquid floats at the top of its container and has cloudy white impurities drifting in it.",,potion,,,,,,,,,,
potion_of_force_resistance,Potion of Force Resistance,uncommon,"When you drink this potion, you have Resistance to Force damage for 1 hour.",,potion,,,,,,,,,,
potion_of_frost_giant_strength,Potion of Frost Giant Strength,rare,"When you drink this potion, your Strength score changes to 23 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score. This potion's transparent liquid has floating in it a sliver of fingernail from a frost giant.",,potion,,,,,,,,,,
potion_of_gaseous_form,Potion of Gaseous Form,rare,"When you drink this potion, you gain the effect of the Gaseous Form spell for 1 hour (no Concentration required) or until you end the effect as a Bonus Action. This potion's container seems to hold fog that moves and pours like water.",,potion,,,,,,,,,,
potion_of_giant_strength,Potion of Giant Strength,common,,,potion,,,,,,,,,,
potion_of_greater_healing,Potion of Greater Healing,uncommon,You regain 4d4 + 4 Hit Points when you drink this potion. The potion's red liquid glimmers when agitated.,,potion,,,,,,,,,,
potion_of_greater_invisibility,Potion of Greater Invisibility,very_rare,"This potion's container looks empty but feels as though it holds liquid. When you drink the potion, you have the Invisible condition for 1 hour.",,potion,,,,,,,,,,
potion_of_growth,Potion of Growth,uncommon,"When you drink this potion, you gain the ""enlarge"" effect of the Enlarge/Reduce spell for 10 minutes (no Concentration required). The red in the potion's liquid continuously expands from a tiny bead to color the clear liquid around it and then contracts. Shaking the bottle fails to interrupt this process.",,potion,,,,,,,,,,
potion_of_healing,Potion of Healing,common,"This potion is a magic item. As a Bonus Action, you can drink it or administer it to another creature within 5 feet of yourself. The creature that drinks the magical red fluid in this vial regains 2d4 + 2 Hit Points.",50gp,potion,,,,,,,,,,
potion_of_heroism,Potion of Heroism,rare,"When you drink this potion, you gain 10 Temporary Hit Points that last for 1 hour. For the same duration, you are under the effect of the Bless spell (no Concentration required). This potion's blue liquid bubbles and steams as if boiling.",,potion,,,,,,,,,,
potion_of_hill_giant_strength,Potion of Hill Giant Strength,uncommon,"When you drink this potion, your Strength score changes to 21 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score. This potion's transparent liquid has floating in it a sliver of fingernail from a hill giant.",,potion,,,,,,,,,,
potion_of_invisibility,Potion of Invisibility,rare,"This potion's container looks empty but feels as though it holds liquid. When you drink the potion, you have the Invisible condition for 1 hour. The effect ends early if you make an attack roll, deal damage, or cast a spell.",,potion,,,,,,,,,,
potion_of_invulnerability,Potion of Invulnerability,rare,"For 1 minute after you drink this potion, you have Resistance to all damage. This potion's syrupy liquid looks like liquefied iron.",,potion,,,,,,,,,,
potion_of_lightning_resistance,Potion of Lightning Resistance,uncommon,"When you drink this potion, you have Resistance to Lightning damage for 1 hour.",,potion,,,,,,,,,,
potion_of_longevity,Potion of Longevity,very_rare,"When you drink this potion, your physical age is reduced by 1d6 + 6 years, to a minimum of 13 years. Each time you subsequently drink a Potion of Longevity, there is 10 percent cumulative chance that you instead age by 1d6 + 6 years. Suspended in this amber liquid is a tiny heart that, against all reason, is still beating.",,potion,,,,,,,,,,
potion_of_mind_reading,Potion of Mind Reading,rare,"When you drink this potion, you gain the effect of the Detect Thoughts spell (save DC 13) for 10 minutes (no Concentration required). This potion's dense, purple liquid has an ovoid cloud of pink floating in it.",,potion,,,,,,,,,,
potion_of_necrotic_resistance,Potion of Necrotic Resistance,uncommon,"When you drink this potion, you have Resistance to Necrotic damage for 1 hour.",,potion,,,,,,,,,,
potion_of_poison,Potion of Poison,uncommon,"This concoction looks, smells, and tastes like a Potion of Healing or another beneficial potion. However, it is actually poison masked by illusion magic. Identify reveals its true nature.",,potion,,,,,,,,,,
potion_of_poison_resistance,Potion of Poison Resistance,uncommon,"When you drink this potion, you have Resistance to Poison damage for 1 hour.",,potion,,,,,,,,,,
potion_of_psychic_resistance,Potion of Psychic Resistance,uncommon,"When you drink this potion, you have Resistance to Psychic damage for 1 hour.",,potion,,,,,,,,,,
potion_of_pugilism,Potion of Pugilism,uncommon,"After you drink this potion, each Unarmed Strike you make deals an extra 1d6 Force damage on a hit. This effect lasts 10 minutes. This potion is a thick green fluid that tastes like spinach.",,potion,,,,,,,,,,
potion_of_radiant_resistance,Potion of Radiant Resistance,uncommon,"When you drink this potion, you have Resistance to Radiant damage for 1 hour.",,potion,,,,,,,,,,
potion_of_resistance,Potion of Resistance,uncommon,"When you drink this potion, you have Resistance to one type of damage for 1 hour. The DM chooses the type or determines it randomly by rolling on the following table.",,potion,,,,,,,,,,
potion_of_speed,Potion of Speed,very_rare,"When you drink this potion, you gain the effect of the Haste spell for 1 minute (no Concentration required) without suffering the wave of lethargy that typically occurs when the effect ends. This potion's yellow fluid is streaked with black and swirls on its own.",,potion,,,,,,,,,,
potion_of_stone_giant_strength,Potion of Stone Giant Strength,rare,"When you drink this potion, your Strength score changes to 23 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score. This potion's transparent liquid has floating in it a sliver of fingernail from a stone giant.",,potion,,,,,,,,,,
potion_of_storm_giant_strength,Potion of Storm Giant Strength,legendary,"When you drink this potion, your Strength score changes to 29 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score. This potion's transparent liquid has floating in it a sliver of fingernail from a storm giant.",,potion,,,,,,,,,,
potion_of_superior_healing,Potion of Superior Healing,rare,You regain 8d4 + 8 Hit Points when you drink this potion. The potion's red liquid glimmers when agitated.,,potion,,,,,,,,,,
potion_of_supreme_healing,Potion of Supreme Healing,very_rare,You regain 10d4 + 20 Hit Points when you drink this potion. The potion's red liquid glimmers when agitated.,,potion,,,,,,,,,,
potion_of_thunder_resistance,Potion of Thunder Resistance,uncommon,"When you drink this potion, you have Resistance to Thunder damage for 1 hour.",,potion,,,,,,,,,,
potion_of_vitality,Potion of Vitality,very_rare,"When you drink this potion, it removes any Exhaustion levels you have and ends the Poisoned condition on you. For the next 24 hours, you regain the maximum number of Hit Points for any Hit Point Die you spend. This potion's crimson liquid regularly pulses with dull light, calling to mind a heartbeat.",,potion,,,,,,,,,,
potion_of_water_breathing,Potion of Water Breathing,uncommon,You can breathe underwater for 24 hours after drinking this potion. This potion's cloudy green fluid smells of the sea and has a jellyfish-like bubble floating in it.,,potion,,,,,,,,,,
potions_of_healing,Potions of Healing,common,,,potion,,,,,,,,,,
potter_s_tools,Potter's Tools,common,"Ability: Intelligence Utilize: Discern what a ceramic object held in the past 24 hours (DC 15) Craft: Jug, Lamp Artisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency. If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool.",10gp,artisan's_tools,,,,,3,,,,,
pouch,Pouch,common,A Pouch holds up to 6 pounds within one-fifth of a cubic foot.,5sp,adventuring_gear,,,,,1,,,,,
priest_s_pack,Priest's Pack,common,"A Priest's Pack contains the following items: Backpack, Blanket, Holy Water, Lamp, 7 days of Rations, Robe, and Tinderbox.",33gp,adventuring_gear,,,,,29,,,,,
prosthetic_limb,Prosthetic Limb,common,"This magic item replaces a lost limb—a hand, an arm, a foot, a leg, or a similar body part. While the prosthetic is attached, it functions identically to the part it replaces. You can detach or reattach it as a Magic action, and it can't be removed against your will while you are alive.",,wondrous_item,,,,,,,,,,
psychic_blade,Psychic Blade,common,,,weapon|simple_weapon|melee_weapon,1d6,psychic,,,,,,,,
purple_worm_poison,Purple Worm Poison,common,"A creature subjected to Purple Worm Poison makes a DC 21 Constitution saving throw, taking 35 (10d6) Poison damage on a failed save or half as much damage on a successful one.",2000gp,adventuring_gear|poison_(injury),,,,,,,,,,
quaal_s_feather_token,Quaal's Feather Token,common,"This object looks like a feather. Different types of feather tokens exist, each with a different single-use effect. The DM chooses the kind of token or determines it randomly by rolling on the Quaal's Feather Tokens table.",,wondrous_item,,,,,,,,,,
quaal_s_feather_token_anchor,"Quaal's Feather Token, Anchor",uncommon,"This object looks like a feather. You can take a Magic action to touch the token to a boat or ship. For the next 24 hours, the vessel can't be moved by any means.",,wondrous_item,,,,,,,,,,
quaal_s_feather_token_bird,"Quaal's Feather Token, Bird",rare,"This object looks like a feather. You can take a Magic action to toss the token 5 feet into the air. The token disappears and an enormous, multicolored bird takes its place.",,wondrous_item,,,,,,,,,,
quaal_s_feather_token_fan,"Quaal's Feather Token, Fan",uncommon,"This object looks like a feather. If you are on a boat or ship, you can take a Magic action to toss the token up to 10 feet in the air. The token disappears, and a giant flapping fan takes its place.",,wondrous_item,,,,,,,,,,
quaal_s_feather_token_swan_boat,"Quaal's Feather Token, Swan Boat",rare,"This object looks like a feather. You can take a Magic action to touch the token to a body of water at least 60 feet in diameter. The token disappears, and a 50-foot-long, 20-foot-wide boat shaped like a swan takes its place.",,wondrous_item,,,,,,,,,,
quaal_s_feather_token_tree,"Quaal's Feather Token, Tree",uncommon,This object looks like a feather. You must be outdoors to use this token. You can take a Magic action to touch it to an unoccupied space on the ground.,,wondrous_item,,,,,,,,,,
quaal_s_feather_token_whip,"Quaal's Feather Token, Whip",rare,"This object looks like a feather. You can take a Magic action to throw the token to a point within 10 feet of yourself. The token disappears, and a floating whip takes its place.",,wondrous_item,,,,,,,,,,
quarterstaff,Quarterstaff,common,,2sp,weapon|simple_weapon|melee_weapon,1d6,bludgeoning,,,4,,,,,
quarterstaff_of_the_acrobat,Quarterstaff of the Acrobat,very_rare,"You have a +2 bonus to attack rolls and damage rolls made with this magic weapon. While holding this weapon, you can cause it to emit green Dim Light out to 10 feet, either as a Bonus Action or after you roll Initiative, or you can extinguish the light as a Bonus Action. While holding this weapon, you can take a Bonus Action to alter its form, turning it into a 6-inch rod (for ease of storage) or a 10-foot pole, or reverting it a Quarterstaff; the weapon will elongate only as far as the surrounding space allows.",,staff|weapon_(quarterstaff)|simple_weapon|melee_weapon,1d6,bludgeoning,true,,4,,,,,
quiver,Quiver,common,A Quiver holds up to 20 Arrows.,1gp,adventuring_gear,,,,,1,,,,,
